S0,Option Price
50,0.00109127
51,0.00161677
52,0.0023571
53,0.00337609
54,0.00477957
55,0.00665849
56,0.00916985
57,0.0124423
58,0.0167295
59,0.0221982
60,0.0291237
61,0.0378806
62,0.0487436
63,0.0621022
64,0.0783936
65,0.0981144
66,0.121872
67,0.150156
68,0.18358
69,0.222796
70,0.268489
71,0.321372
72,0.382175
73,0.451894
74,0.531211
75,0.620852
76,0.721566
77,0.834076
78,0.959166
79,1.09852
80,1.25192
81,1.41992
82,1.60404
83,1.80486
84,2.02195
85,2.25737
86,2.51081
87,2.78211
88,3.07378
89,3.38325
90,3.71411
91,4.0633
92,4.43404
93,4.82339
94,5.23473
95,5.66435
96,6.11631
97,6.58679
98,7.07786
99,7.58874
100,8.1176
101,8.66797
102,9.23587
103,9.82155
104,10.427
105,11.0491
106,11.6875
107,12.3445
108,13.0171
109,13.7048
110,14.4076
111,15.1263
112,15.8588
113,16.6045
114,17.3631
115,18.1352
116,18.9195
117,19.7153
118,20.522
119,21.3392
120,22.1665
121,23.0042
122,23.8512
123,24.7071
124,25.5713
125,26.4435
126,27.3234
127,28.2105
128,29.1046
129,30.0054
130,30.9125
131,31.8256
132,32.7445
133,33.669
134,34.5986
135,35.5332
136,36.4724
137,37.4162
138,38.3643
139,39.3165
140,40.2727
141,41.2326
142,42.1961
143,43.1632
144,44.1337
145,45.1074
146,46.0842
147,47.064
148,48.0467
149,49.0323
150,50.0206
